ID,name,URL,,,,,Comment
pp0245,Christian von Hohenfels,https://explore.gnd.network/gnd/1098211707,,,,,
pp0246,Georg Wilhelm (Braunschweig-Lüneburg),https://explore.gnd.network/gnd/119200767,,,,,
pp0247,Rudolf August (Braunschweig-Lüneburg),https://explore.gnd.network/gnd/116678909,,,,,
pp0248,François de Pas de Rebenac,https://explore.gnd.network/gnd/128793996,,,,,
pp0249,Karl XI. (Schweden),https://explore.gnd.network/gnd/119160978,,,,,
pp0250,Andreas Gottlieb von Bernstorff,https://explore.gnd.network/gnd/118656554,,,,,
pp0251,Friedrich von Heimburg,https://explore.gnd.network/gnd/123359848,,,,,
pp0252,"Christian Ludwig I, Herzog von Mecklenburg-Schwerin",https://explore.gnd.network/gnd/1089320671,,,,,
pp0253,"Adolf Friedrich II., Herzog von Mecklenburg-Strelitz",https://explore.gnd.network/gnd/104181982,,,,,
pp0254,"Julius Franz, Herzog von Sachsen-Lauenburg",https://explore.gnd.network/gnd/102141126,,,,,
pp0255,"August Friedrich, Herzog von Schleswig-Holstein-Gottorf",https://explore.gnd.network/gnd/120439344,,,,,
pp0256,"Simon Heinrich, Graf von Lippe-Detmold",https://explore.gnd.network/gnd/102040095,,,,,
pp0257,"Philipp, Graf von Schaumburg-Lippe",https://explore.gnd.network/gnd/123432626,,,,,
pp0258,Friedrich zur Lippe-Brake,,,,,,
pp0259,"Christian Wilhelm, Graf von Schwarzburg-Sondershausen",https://explore.gnd.network/gnd/121056910,,,,,
pp0260,Anton Günther II. von Schwarzburg-Arnstadt,https://explore.gnd.network/gnd/117764337,,,,,
pp0261,"Albrecht Anton, Graf von Schwarzburg-Rudolstadt",https://explore.gnd.network/gnd/102109230,,,,,
pp0262,Christian V. (Dänemark),https://explore.gnd.network/gnd/119175800,,,,,
pp0263,Friedrich Wilhelm (Brandenburg),https://explore.gnd.network/gnd/11853596X,,,,,
pp0264,Ernst August I. (Hannover),https://explore.gnd.network/gnd/101052677,,,,,
pp0265,August (Schleswig-Holstein-Sonderburg-Norburg-Plön),https://explore.gnd.network/gnd/1053413106,,,,,
pp0266,"Christian Albrecht, Herzog von Schleswig-Holstein-Gottorf",https://explore.gnd.network/gnd/102125880,,,,,
pp0267,Gustaf Zülich,https://www.wikidata.org/wiki/Q6254254,,,,,
pp0268,Friedrich I. (Schweden),https://explore.gnd.network/gnd/118535803,,,,,
pp0269,Teodor Andrzej Potocki,https://explore.gnd.network/gnd/142850063,,,,,
pp0270,Jan Skarbek,,,,,,
pp0271,Stanisùaw Józef Hozjusz,,,,,,
pp0272,Bogusław Korwin Gosiewski ,https://www.wikidata.org/wiki/Q3917222,,,,,
pp0273,Kazimierz Ogiñski,,,,,,
pp0274,Jan Sapieha,https://explore.gnd.network/gnd/1017248508,,,,,
pp0275,Stefan Humiecki,https://viaf.org/viaf/163927264/,,,,,
pp0276,Jan Tarlo,https://explore.gnd.network/gnd/1019104759,,,,,
pp0277,Stanisław Poniatowski,https://explore.gnd.network/gnd/141224967,,,,,
pp0278,Piotr Jerzy Przebendowski,,,,,,
pp0279,Piotr Jan Czapski,,,,,,
pp0280,Josephus Franciscus Sołtyk,,,,,,
pp0281,Jan Klemens Branicki,https://explore.gnd.network/gnd/119176076,,,,,
pp0282,Jan Wielopolski,,,,,,
pp0283,Michaù Korybut Wiúniowiecki,,,,,,
pp0284,Jan Lipski,https://explore.gnd.network/gnd/1147243794,,,,,
pp0285,Michaù Czartoryski,https://explore.gnd.network/gnd/1020579625,,,,,
pp0286,Johann Philipp von Schönborn,https://explore.gnd.network/gnd/118610066,,,,,
pp0287,Karl Kaspar von der Leyen,https://explore.gnd.network/gnd/100442234,,,,,
pp0288,"Maximilian Heinrich, Köln, Erzbischof",https://explore.gnd.network/gnd/10030673X,,,,,
pp0289,Christoph Bernhard von Galen,https://explore.gnd.network/gnd/118520709,,,,,
pp0290,"Philipp Wilhelm, Pfalz, Kurfürst",https://explore.gnd.network/gnd/118742221,,,,,
pp0291,"August, Braunschweig-Lüneburg, Herzog",https://explore.gnd.network/gnd/118505076,,,,,
pp0292,"Christian Ludwig, Braunschweig-Lüneburg, Herzog",https://explore.gnd.network/gnd/102117977,,,,,
pp0293,"Wilhelm VI., Hessen-Kassel, Landgraf",https://explore.gnd.network/gnd/102035229,,,,,
pp0294,Antoine Gramont,https://explore.gnd.network/gnd/122810627,,,,,
pp0295,Hugues de Lionne,https://explore.gnd.network/gnd/1055565892,,,,,
pp0296,Johann Christian von Boyneburg,https://explore.gnd.network/gnd/118659669,,,,,
pp0297,Wilhelm Egon Graf von Fürstenberg,https://explore.gnd.network/gnd/1158819498,,,,,
pp0298,Franz Wilhelm von Giese,,,,,,
pp0299,Georg Hansson von Snoilsky,https://explore.gnd.network/gnd/125845774,,,,,
pp0300,Polycarp Heiland,https://explore.gnd.network/gnd/128615346,,,,,
pp0301,Otto Johann Witte,https://explore.gnd.network/gnd/122783271,,,,,
pp0302,Otto Otto von Mauderode,https://explore.gnd.network/gnd/121288536,,,,,
